TailleTrain;Algo;Parametre;TauxReussite;TempsApprentissageMS;TempsPredictionMS
5000;MLP_Tangente;128_caches;89.24;35709;458
5000;MLP_sigmoide;128_caches;87.12;35703;449
10000;MLP_Tangente;128_caches;90.36;71540;464
10000;MLP_sigmoide;128_caches;89.78;70918;444
15000;MLP_Tangente;128_caches;92.16;108162;456
15000;MLP_sigmoide;128_caches;90.84;106620;444
20000;MLP_Tangente;128_caches;91.80;143645;457
20000;MLP_sigmoide;128_caches;92.00;144866;449
25000;MLP_Tangente;128_caches;92.50;180047;459
25000;MLP_sigmoide;128_caches;92.56;177868;444
30000;MLP_Tangente;128_caches;91.12;215691;457
30000;MLP_sigmoide;128_caches;93.26;206991;445
35000;MLP_Tangente;128_caches;92.72;251927;456
35000;MLP_sigmoide;128_caches;93.90;240453;442
40000;MLP_Tangente;128_caches;91.98;287364;459
40000;MLP_sigmoide;128_caches;94.32;276562;442
45000;MLP_Tangente;128_caches;93.30;324041;463
45000;MLP_sigmoide;128_caches;94.86;312121;443
50000;MLP_Tangente;128_caches;92.16;360072;455
50000;MLP_sigmoide;128_caches;94.86;346144;442
55000;MLP_Tangente;128_caches;93.74;394837;455
55000;MLP_sigmoide;128_caches;95.10;379060;443
60000;MLP_Tangente;128_caches;92.80;430907;456
60000;MLP_sigmoide;128_caches;95.40;413318;442
