TailleTrain;Algo;Parametre;TauxReussite;TempsApprentissageMS;TempsPredictionMS
5000;MLP_Tangente;128_caches;16.10;36241;457
5000;MLP_sigmoide;128_caches;91.60;35594;450
10000;MLP_Tangente;128_caches;12.80;71504;469
10000;MLP_sigmoide;128_caches;93.60;71061;444
15000;MLP_Tangente;128_caches;19.80;108235;470
15000;MLP_sigmoide;128_caches;95.20;106602;443
20000;MLP_Tangente;128_caches;12.76;144094;456
20000;MLP_sigmoide;128_caches;95.64;143174;442
25000;MLP_Tangente;128_caches;9.52;180584;462
25000;MLP_sigmoide;128_caches;96.10;173611;443
30000;MLP_Tangente;128_caches;10.54;215224;451
30000;MLP_sigmoide;128_caches;96.60;205835;451
35000;MLP_Tangente;128_caches;15.42;251904;452
35000;MLP_sigmoide;128_caches;96.60;241461;444
40000;MLP_Tangente;128_caches;10.16;291578;456
40000;MLP_sigmoide;128_caches;96.80;277706;443
45000;MLP_Tangente;128_caches;10.88;324100;454
45000;MLP_sigmoide;128_caches;96.88;314986;442
50000;MLP_Tangente;128_caches;9.20;362348;450
50000;MLP_sigmoide;128_caches;96.84;344156;446
55000;MLP_Tangente;128_caches;12.94;394564;451
55000;MLP_sigmoide;128_caches;97.02;378371;444
60000;MLP_Tangente;128_caches;10.42;438132;459
60000;MLP_sigmoide;128_caches;97.10;416993;448
