TailleTrain;Algo;Parametre;TauxReussite;TempsApprentissageMS;TempsPredictionMS
5000;MLP_Tangente;0_caches;52.26;2808;54
5000;MLP_sigmoide;0_caches;86.38;2990;49
10000;MLP_Tangente;0_caches;44.18;5504;51
10000;MLP_sigmoide;0_caches;88.08;5318;43
15000;MLP_Tangente;0_caches;42.52;8314;44
15000;MLP_sigmoide;0_caches;88.50;7997;41
20000;MLP_Tangente;0_caches;42.40;11094;43
20000;MLP_sigmoide;0_caches;88.78;10782;41
25000;MLP_Tangente;0_caches;31.36;13610;44
25000;MLP_sigmoide;0_caches;89.00;13335;41
30000;MLP_Tangente;0_caches;30.56;16461;43
30000;MLP_sigmoide;0_caches;89.34;16335;44
35000;MLP_Tangente;0_caches;31.32;19402;43
35000;MLP_sigmoide;0_caches;89.30;18587;43
40000;MLP_Tangente;0_caches;34.86;22294;44
40000;MLP_sigmoide;0_caches;89.52;21296;41
45000;MLP_Tangente;0_caches;42.58;24837;43
45000;MLP_sigmoide;0_caches;89.70;24220;44
50000;MLP_Tangente;0_caches;27.08;27682;41
50000;MLP_sigmoide;0_caches;89.58;26497;42
55000;MLP_Tangente;0_caches;32.56;30282;44
55000;MLP_sigmoide;0_caches;89.82;29705;42
60000;MLP_Tangente;0_caches;33.78;33271;43
60000;MLP_sigmoide;0_caches;89.10;32635;42
