TailleTrain;Algo;Parametre;TauxReussite;TempsApprentissageMS;TempsPredictionMS
5000;MLP_Tangente;0_caches;72.80;2852;55
5000;MLP_sigmoide;0_caches;87.64;2967;49
10000;MLP_Tangente;0_caches;70.50;5534;51
10000;MLP_sigmoide;0_caches;88.50;5334;44
15000;MLP_Tangente;0_caches;67.14;8123;44
15000;MLP_sigmoide;0_caches;88.76;8120;41
20000;MLP_Tangente;0_caches;68.16;11137;44
20000;MLP_sigmoide;0_caches;89.02;10858;41
25000;MLP_Tangente;0_caches;68.52;14031;44
25000;MLP_sigmoide;0_caches;89.36;13576;43
30000;MLP_Tangente;0_caches;73.82;16730;43
30000;MLP_sigmoide;0_caches;89.54;16350;41
35000;MLP_Tangente;0_caches;71.04;19703;43
35000;MLP_sigmoide;0_caches;89.86;18831;43
40000;MLP_Tangente;0_caches;73.82;21918;44
40000;MLP_sigmoide;0_caches;89.64;21960;41
45000;MLP_Tangente;0_caches;72.48;25019;42
45000;MLP_sigmoide;0_caches;89.90;24127;41
50000;MLP_Tangente;0_caches;72.14;27614;43
50000;MLP_sigmoide;0_caches;89.92;27709;41
55000;MLP_Tangente;0_caches;70.28;30144;42
55000;MLP_sigmoide;0_caches;89.98;29548;42
60000;MLP_Tangente;0_caches;58.92;32933;43
60000;MLP_sigmoide;0_caches;90.14;32369;42
